ticker,prob_beat_market,dividend_yield,momentum,volatility,avg_corr_with_picks
AMKR,0.6159012661189598,0.66,1.4422158218291783,0.6319247571665396,0.23753179496244473
CLB,0.6072090837120525,0.21,0.52853508390305,0.6536239343677388,0.19122821310027363
FISV,0.6046062248119717,0.0,-0.5847305480591551,0.6895767981229654,0.1919407571796463
CFG,0.5995886990580768,3.01,0.3016135843984224,0.2468311684450622,0.206017920606092
THRY,0.5923338218170244,0.0,-0.5579243965689208,0.6694925682577245,0.0
MARA,0.5783379187113582,0.0,-0.4646017523381652,0.7144895983748765,0.21686226026872185
ACA,0.5751780569589536,0.18,0.2462181525429279,0.3286085990273105,0.2198090693127876
CC,0.5688660093103955,2.53,0.061205936298331,0.5938349353713759,0.202797907044651
BTU,0.5664339310500209,0.91,1.3357991691587894,0.5933718513419731,0.18163486558580577
L,0.5641957766444197,0.24,0.1505042376403234,0.1429664587618897,0.1990053819668435
ESE,0.5633399180556601,0.15,0.0960461691724949,0.2491636469777363,0.2265606394350342
SABR,0.5623956366892844,0.0,-0.5504732119810372,0.6931984751303355,0.16791258964958522
JBL,0.5597258497211057,0.14,0.0289696194628665,0.3794677170029819,0.2050040372615165
COST,0.5592592287118109,0.57,-0.0502868967689529,0.1821366345145695,0.20677359672835313
ED,0.5580532848710271,3.39,0.0079059517635273,0.1567462481061934,0.20252503262649094
GE,0.5575643325836324,0.46,0.2252000861001639,0.2408850563649944,0.21446857061798527
GOGO,0.5529541250699888,0.0,-0.6681672164553036,0.6398044384270086,0.1664257476060391
VMI,0.5523759729076254,0.65,0.2942731440470281,0.2519918914542592,0.21230871181576913
PLAY,0.5514870617276642,0.0,-0.4603868217088391,0.6691111329679442,0.20487768604504
CBOE,0.5505998244412407,1.11,0.1057170340551769,0.1918895716188337,0.19538647605830672
RNR,0.5495164947127658,0.57,0.1424855350045464,0.2288947567328949,0.19420104607946914
EA,0.5490362846324032,0.37,0.3746397496161593,0.2814241774506199,0.1942245948745252
ARCB,0.5484768565648304,0.55,0.0647295045066842,0.4672425810314732,0.21340479265785384
GL,0.5444794010528571,0.76,0.1858958945218554,0.2256294461051997,0.1822071683757628
TDC,0.5434210469771004,0.0,0.4494948897858155,0.5754447231770123,0.21747943859879762
ALGT,0.5427408296873847,0.0,0.7570559234206371,0.6395960061084052,0.21164003296009623
CEG,0.5426510505910935,0.48,0.0436643733586414,0.4332377266346474,0.21128990691267863
AON,0.5424762706682797,0.85,-0.0201534299833552,0.1940126087764398,0.22238841731217818
WMT,0.5391221286614551,0.83,0.2048246855854743,0.2106804037677146,0.2324649191324872
RGLD,0.5376164062207476,0.78,0.558089162665881,0.3192728493274565,0.18025685212210305
AOSL,0.5369290804269643,0.0,-0.1855170231749614,0.6618842338795885,0.19033817563725167
PRGO,0.5353920647372855,7.89,-0.4467312991719673,0.4805182100963583,0.1284964541754325
IRDM,0.5353205275977606,3.23,-0.3905258083652434,0.5686231258035367,0.2029607654022077
MCK,0.5343635082301886,0.4,0.147860231826632,0.2345770825672309,0.21781200123244848
HELE,0.5310984916450497,0.0,-0.0870566314763318,0.6956701448884512,0.0
ACHC,0.5304848880924512,0.0,-0.4414451888754366,0.5951891345582306,0.22571375617773998
STE,0.528005696153843,0.97,0.1489173601002349,0.2198736982275948,0.2160387466232429
SWX,0.5275232890838294,3.07,0.068757975820324,0.1679809268043163,0.21164558410763404
LBRT,0.5273387365049736,1.89,0.6042187972187518,0.6801723671213484,0.21146817991571806
KNSL,0.5240587946736459,0.17,-0.1886024493550917,0.3196979033494739,0.16234971367938178
CPK,0.5234348898711092,2.22,0.0155977605190926,0.1733167472669725,0.19918407011386827
RAL,0.5198720419394501,0.39,0.0956643182561347,0.3004626695060899,0.0
VICR,0.5185588398349966,0.0,2.0466853330096018,0.7373660175342664,0.20481475736071816
ROL,0.5132664174115462,1.21,0.1059452274232171,0.220619665432527,0.15279015016096026
MXL,0.5119517788302823,0.0,0.2694385567592718,0.6216203545618448,0.19611020467519
ACT,0.5112776288325834,2.06,0.184384379317855,0.1964094877261193,0.17196678625556597
IEX,0.5092894232867189,1.54,0.0255942025719257,0.2693633443405521,0.22408242476389895
PLUS,0.5087154755020198,1.16,0.2362458257269044,0.3690179602339769,0.22693408227632683
IART,0.5082992191154574,0.0,0.1183455929819568,0.6204344462927482,0.17074682076802344
NOC,0.506511798563383,1.56,0.1902749787192845,0.2421379659513091,0.20881649679649672
