ticker,prob_beat_market,dividend_yield,momentum,volatility,avg_corr_with_picks
MKSI,0.6673275193657054,0.56,0.2139480797738391,0.7215810616298183,0.21622655582488917
ARCB,0.6583938099816983,0.75,-0.0019432354741364,0.6418595653730708,0.22332311771174843
JBL,0.6425346136027155,0.15,0.4481754886090598,0.4346197672008858,0.22717221230483403
WCC,0.6269401691926544,0.68,0.3499403323922345,0.4650493871768925,0.24136818546256697
AEIS,0.6235722810730399,0.19,0.3998153648379094,0.5409651474291268,0.2038724743059158
PIPR,0.6228085307175582,0.83,0.2795950678052503,0.4187797144020119,0.22603605115610756
WHD,0.6220772855857121,1.3,-0.1301087990793674,0.4948560320934709,0.21129183247853764
CEVA,0.6103368403668659,0.0,-0.3262583498553989,0.6568189897092492,0.20587053584013182
FTV,0.6073857955840681,0.45,-0.1765083480424171,0.3147249378622606,0.24563096709287202
WFRD,0.6019091022893993,1.34,0.1835976743058072,0.6454462304000559,0.22319960832821867
HOOD,0.5904535960433489,0.0,1.2507571620898004,0.7787351319736804,0.2357514658499529
ENPH,0.5903354396551658,0.0,-0.34842723184841,0.8429203927978152,0.20436721783018225
STLD,0.584782064715641,1.19,0.0441797073357217,0.4081571069255894,0.2150949096525896
FUN,0.5769742592835092,3.61,-0.4389218272853306,0.643024893830284,0.19649070123998733
VTLE,0.5724410637394786,0.0,-0.2268980353729193,0.9017246074612758,0.1946757425591712
VIR,0.5694543921084405,0.0,-0.3975609546187088,0.6575711436672155,0.17318577690869477
CEG,0.5689642242018162,0.43,0.3354219831787248,0.5472306211438878,0.1996612260739332
TPL,0.5687915149924327,0.74,-0.3163702927793056,0.5266146139465616,0.20905606058310225
QDEL,0.5654423804821489,0.0,-0.2637926703780593,0.8142917738096674,0.18100120485257146
FWRD,0.5634027079259178,0.0,0.3557562620237235,0.9532487046888902,0.17066267881302516
EPAM,0.5624458433039875,0.0,-0.1093378844356108,0.4403955194309752,0.2104402194728531
FTI,0.5623160867243793,0.44,0.3690504138349357,0.4844498652313589,0.18299107217724922
BHF,0.5603794618525285,0.0,-0.1401019085008475,0.4979693770982077,0.19014594011826244
LNTH,0.5595975968809009,0.0,-0.4407659921578185,0.644529056198228,0.18759813959376279
GPN,0.5568304339691398,1.32,-0.1024022233492655,0.4969993639256557,0.1781690241704342
CRS,0.5546611070423243,0.25,0.1950073238765648,0.5015003027683204,0.19727563004092177
KO,0.5525067488703709,2.79,-0.0028031813541434,0.1761756427995776,0.15706988221822338
EA,0.5507554529257048,0.38,0.3075617531415251,0.2638730830811643,0.15675381608919575
HCC,0.5504131088251747,0.41,0.2551288791659687,0.5338737100076687,0.18541668234889105
VYX,0.5495410642250816,0.0,0.2203703770748708,0.5412737850194789,0.1836785983344775
LLY,0.5462722365863897,0.56,-0.1924856431104279,0.4785916648594113,0.18524443296415005
COR,0.5453947156656049,0.65,0.1557087435367763,0.2298679767431575,0.1850879938517146
GTLS,0.5407016881132494,0.0,0.1966386152860089,0.6611814120699737,0.15175083309707663
PSKY,0.5393734727421383,1.25,0.2914189592925873,0.6716495702194081,0.20880393330012223
CAR,0.5393275598946726,0.0,1.072701117605413,0.766877263752537,0.1955342549874022
ABG,0.5388121478788483,0.0,-0.0151135501276324,0.3980268931821219,0.20131138101389945
IIIN,0.5385917147182849,0.39,0.4678194576219314,0.3832373914365148,0.2135422307697288
AAP,0.533526784959899,1.93,0.7850374096736554,0.9705572495351208,0.21467002644278863
KNSL,0.5314889945022373,0.18,0.0569024449703901,0.3855138425547936,0.14218784950746607
KOP,0.5304106830555345,1.08,0.0470453655811409,0.454351580068407,0.2300438163016551
MOH,0.5302155544348685,0.0,-0.4099970387523169,0.5537960490437045,0.20962203065416152
VSAT,0.5266366043205376,0.0,2.7768691876422085,0.8705071616704795,0.20092321330173812
CAH,0.5227807131602505,0.96,0.1858446632517019,0.2486012746907144,0.19993905554072736
FHN,0.5222780596897996,2.69,0.1473757523385916,0.3698235265933484,0.19610358524686572
FCFS,0.5219358926907048,1.06,0.3280007725882914,0.282548544174113,0.18609423452208662
INVX,0.5169394298536304,0.0,0.0087667804312949,0.4983216967369934,0.18853428900848393
TMDX,0.5163456626366378,0.0,0.6634350755200762,0.6095162677898947,0.16141526443083085
CERT,0.5145315584238532,0.0,-0.0852320840817194,0.6471201452663239,0.1898389331969678
ATEN,0.5043435512835999,1.39,-0.1141524617622122,0.4073153272744454,0.21417158906596276
AJG,0.5012324276032076,1.05,-0.0988457908983273,0.2637969178112844,0.16521589376464685
